internal_name,display_name,dmg_dice_num,dmg_dice_size,damage_type,attack_type,short_range,long_range,tags
unarmed,,1,1,bludgeoning,melee,,,"simple,monk"
club,,1,4,bludgeoning,melee,,,"simple,light"
dagger,,1,4,piercing,melee,20,60,"simple,finesse,light,thrown"
greatclub,,1,8,bludgeoning,melee,,,"simple,2h"
handaxe,,1,6,slashing,melee,20,60,"simple,light,thrown"
quarterstaff,,1,6,bludgeoning,melee,,,"simple,versatile"
sickle,,1,4,slashing,melee,,,"simple,light"
spear,,1,6,piercing,melee,20,60,"simple,thrown,versatile"
,,,,,,,,
crossbow_light,"Crossbow, Light",1,8,piercing,ranged,80,320,"simple,ammunition,loading,2h"
dart,,1,4,piercing,ranged,20,60,"simple,finesse,thrown"
shortbow,,1,6,piercing,ranged,80,320,"simple,ammunition,2h"
sling,,1,4,bludgeoning,ranged,30,120,"simple,ammunition"
,,,,,,,,
battleaxe,,1,8,slashing,melee,,,"martial,versatile"
flail,,1,8,bludgeoning,melee,,,"martial,"
glaive,,1,10,slashing,melee,,,"martial,heavy,reach,2h"
greatsword,,2,6,slashing,melee,,,"martial,heavy,2h"
halberd,,1,10,slashing,melee,,,"martial,heavy,reach,2h"
lance,,1,12,piercing,melee,,,"martial,reach,lance"
longsword,,1,8,slashing,melee,,,"martial,versatile"
maul,,2,6,bludgeoning,melee,,,"martial,heavy,2h"
morningstar,,1,8,piercing,melee,,,martial
pike,,1,10,piercing,melee,,,"martial,heavy,reach,2h"
rapier,,1,8,piercing,melee,,,"martial,finesse"
scimitar,,1,6,slashing,melee,,,"martial,finesse,light"
shortsword,,1,6,slashing,melee,,,"martial,finesse,light,monk"
trident,,1,6,piercing,melee,20,60,"martial,thrown,versatile"
war_pick,War Pick,1,8,piercing,melee,,,martial
warhammer,,1,8,bludgeoning,melee,,,"martial,versatile"
whip,,1,4,slashing,melee,,,"martial,finesse,reach"
,,,,,,,,
blowgun,,1,1,piercing,ranged,25,100,"martial,ammunition,loading"
crossbow_hand,"Crossbow, Hand",1,6,piercing,ranged,30,120,"martial,ammunition,light,loading"
crossbow_heavy,"Crossbow, Heavy",1,10,piercing,ranged,100,400,"martial,ammunition,heavy,loading,2h"
longbow,,1,8,piercing,ranged,150,600,"martial,ammunition,heavy,2h"
net,,0,0,,ranged,5,15,"martial,thrown,net"
,,,,,,,,
talons,,1,4,slashing,melee,,,"simple,light"
improved_unarmed,,1,4,bludgeoning,melee,,,"simple,light"
monk_unarmed,Unarmed (Martial Arts),1,4,bludgeoning,melee,,,"simple,finesse,monk"
