internal_name,display_name,categories,attribute_bonuses,speeds,creature_type,size,languages,features,traits,arg_one_label,arg_one_options,arg_two_label,arg_two_options
,,,,,,,,,,,,,
humanoid,Humanoid (Any),generic,,,,,common,,,,,,
,,,,,,,,,,,,,
human,,human,"str:1,dex:1,con:1,int:1,wis:1,cha:1",,,,common,,extra_language,,,,
human_variant,Variant Human,human,,,,,common,,"extra_language,floating_attribute_bonus_double,extra_skill",,,,
,,,,,,,,,,,,,
halfling_ghostwise,,halfling,"dex:2,wis:1",walk:25,,small,"common,halfling",,"lucky,brave,halfling_nimbleness,silent_speech",,,,
halfling_lightfoot,,halfling,"dex:2,wis:1",walk:25,,small,"common,halfling",,"lucky,brave,halfling_nimbleness,naturally_stealthy",,,,
halfling_stout,,halfling,"dex:2,con:1",walk:25,,small,"common,halfling",,"lucky,brave,halfling_nimbleness,stout_resilience",,,,
,,,,,,,,,,,,,
half_elf,Half-Elf,half-elf,cha:2,,,,"common,elvish",,"extra_language,floating_attribute_bonus_double,extra_skill,extra_skill,darkvision,fey_ancestry",,,,
,,,,,,,,,,,,,
half_orc,Half-Orc,half-orc,"str:2,con:1",,,,"common,orc",,"darkvision,menacing,savage_attack,relentless_endurance",,,,
,,,,,,,,,,,,,
dwarf_duergar,,dwarf,"str:1,con:2",walk:25,,,"common,dwarvish,undercommon",,"heavy_armor_training,superior_darkvision,dwarven_combat_training,tool_proficiency_dwarven,stonecunning,duergar_resilience,duergar_magic,sunlight_sensitivity",,,,
dwarf_hill,,dwarf,"con:2,wis:1",walk:25,,,"common,dwarvish",,"heavy_armor_training,darkvision,dwarven_combat_training,tool_proficiency_dwarven,stonecunning,dwarven_toughness",,,,
dwarf_mountain,,dwarf,"str:2,con:2",walk:25,,,"common,dwarvish",,"heavy_armor_training,darkvision,dwarven_combat_training,tool_proficiency_dwarven,stonecunning,dwarven_armor_training",,,,
,,,,,,,,,,,,,
elf_drow,,elf,"dex:2,cha:1",,,,"common,elvish",,"superior_darkvision,keen_senses,fey_ancestry,trance,sunlight_sensitivity,drow_magic,drow_weapon_training",,,,
elf_eladrin,,elf,"dex:2,int:1",,,,"common,elvish",,"darkvision,keen_senses,fey_ancestry,trance,elf_weapon_training,fey_step",,,,
elf_high,,elf,"dex:2,int:1",,,,"common,elvish",,"darkvision,keen_senses,fey_ancestry,trance,elf_weapon_training,extra_cantrip,extra_language",,,,
elf_wood,,elf,"dex:2,wis:1",walk:35,,,"common,elvish",,"darkvision,keen_senses,fey_ancestry,trance,elf_weapon_training,fleet_of_foot,mask_of_the_wild",,,,
,,,,,,,,,,,,,
gnome_deep,,gnome,"dex:1,int:2",walk:25,,small,"common,gnomish,undercommon",,"superior_darkvision,gnome_cunning,stone_camoflage",,,,
gnome_forest,,gnome,"dex:1,int:2",walk:25,,small,"common,gnomish",,"darkvision,gnome_cunning,natural_illusionist,speak_with_small_beasts",,,,
gnome_rock,,gnome,"con:1,int:2",walk:25,,small,"common,gnomish",tinker,"darkvision,gnome_cunning,artificers_lore",,,,
,,,,,,,,,,,,,
dragonborn,,dragonborn,"str:2,con:1",,,,"common,draconic",dragonborn_feature:@ARG1,,Draconic Lineage,"random,black,blue,brass,bronze,copper,gold,green,red,silver,white",,
,,,,,,,,,,,,,
aasimar,,aasimar,"wis:1,cha:2",,,,"common,celestial",,"darkvision,celestial_resistance,celestial_legacy",,,,
aasimar_fallen,,aasimar,"str:1,cha:2",,,,"common,celestial",,"darkvision,celestial_resistance,healing_hands,light_bearer,necrotic_shroud",,,,
aasimar_protector,,aasimar,"wis:1,cha:2",,,,"common,celestial",,"darkvision,celestial_resistance,healing_hands,light_bearer,radiant_soul",,,,
aasimar_scourge,,aasimar,"con:1,cha:2",,,,"common,celestial",,"darkvision,celestial_resistance,healing_hands,light_bearer,radiant_consumption",,,,
,,,,,,,,,,,,,
tiefling,,tiefling,"int:1,cha:2",,,,"common,infernal",,"darkvision,hellish_resistance,infernal_legacy",,,,
,,,,,,,,,,,,,
aarakocra,,avian,"dex:2,wis:2","walk:20,fly:50",,,"common,aarakocra,auran",,talons,,,,
,,,,,,,,,,,,,
lizardfolk,,monstrous,"con:2,wis:1",swim:30,,,"common,draconic",,natural_armor,,,,
